,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,David Thomson,22.6,25.5,23.8,27.2,25.0,32.5,31.6,41.8,49.2,54.4
23,Gautam Adani,2.8,6.6,3.5,5.8,9.7,8.7,8.9,50.5,90.0,47.2
24,Dieter Schwarz,21.1,19.4,16.4,17.0,20.9,22.6,19.8,36.9,47.1,42.9
25,Zhang Yiming,,,,,4.0,16.2,16.2,35.6,50.0,45.0
26,Phil Knight,18.4,21.5,24.4,26.2,29.6,33.4,29.5,49.9,47.3,45.1
27,Mark Mateschitz,,,,,,,,,,
28,Jensen Huang,,,,2.7,5.6,3.8,4.7,11.8,20.6,21.1
29,Giovanni Ferrero,,,,,23.0,22.4,24.5,35.1,36.2,38.9
30,John Mars,20.0,26.6,23.4,27.0,23.6,23.9,24.7,31.3,31.7,38.3
31,Jacqueline Mars,20.0,26.6,23.4,27.0,23.6,23.9,24.7,31.3,31.7,38.3
32,FranÃ§ois Pinault,15.5,14.9,11.5,15.7,27.0,29.7,27.0,42.3,40.4,40.1
33,Li Ka-shing,31.0,33.3,27.1,31.2,34.9,31.7,21.7,33.7,34.8,38.0
34,MacKenzie Scott,,,,,,,36.0,53.0,43.6,24.4
35,Tadashi Yanai,17.9,20.2,14.6,15.9,19.5,22.2,19.7,44.1,26.1,32.6
36,Klaus-Michael Kuehne,10.4,11.9,10.0,12.4,15.3,12.9,14.2,26.3,37.3,39.1
37,Ma Huateng,13.4,16.1,16.6,24.9,45.3,38.8,38.1,65.8,37.2,35.3
38,Miriam Adelson,,,,,,,,38.2,27.5,35.0
39,Ken Griffin,5.2,6.5,7.5,8.0,9.0,11.7,12.1,16.0,27.2,35.0
40,Len Blavatnik,18.7,20.2,15.3,20.0,20.2,17.7,17.0,32.0,32.5,32.1
41,Robin Zeng,,,,,1.9,6.8,9.7,28.4,44.8,33.4
42,William Lei Ding,4.2,6.6,8.1,17.3,17.4,14.7,17.0,33.0,25.2,26.7
43,Alain Wertheimer,9.0,9.5,11.0,11.8,13.0,14.6,17.1,34.5,31.2,31.6
44,Gerard Wertheimer,9.0,9.5,11.0,11.8,13.0,14.6,17.1,34.5,31.2,31.6
45,Cyrus Poonawalla,4.9,6.6,8.5,8.1,9.1,9.5,8.2,12.7,24.3,22.6
46,Stephen Schwarzman,10.0,12.0,9.5,11.8,12.6,13.2,15.4,21.9,34.8,27.8
47,Rafaela Aponte-Diamant,,,,,,,,,,
48,Gianluigi Aponte,6.3,7.9,8.4,7.5,9.3,10.5,6.5,10.7,16.8,31.2
49,Reinhold Wuerth,7.7,6.7,8.1,10.0,13.6,11.2,11.6,16.8,19.0,29.7
50,Jeff Yass,,,,,,,,12.0,12.0,28.5
51,Thomas Peterffy,8.8,10.9,11.1,13.8,20.3,17.1,14.3,25.0,20.1,25.3
52,Jim Simons,12.5,14.0,15.5,18.0,20.0,21.5,21.6,24.6,28.6,28.1
53,GermÃ¡n Larrea Mota Velasco,14.7,13.9,9.2,13.8,17.3,13.3,11.0,25.9,30.8,26.6
54,Colin Zheng Huang,,,,,,13.5,16.5,55.3,11.3,30.2
55,Lee Shau Kee,19.6,24.8,21.5,24.4,30.3,30.1,28.1,31.7,32.6,29.5
56,Gina Rinehart,17.7,12.3,8.8,15.0,17.4,15.2,13.1,23.6,30.2,27.0
57,Shiv Nadar,11.1,14.8,11.1,12.3,14.6,14.6,11.9,23.5,28.7,25.6
58,R. Budi Hartono,7.6,9.0,8.1,9.0,17.4,18.6,13.6,20.5,23.2,24.2
59,Stefan Quandt,14.9,15.6,15.6,18.3,22.0,17.5,12.3,21.6,20.7,24.6
60,Michael Hartono,7.3,8.7,7.9,8.9,16.7,18.5,13.0,19.7,22.3,23.1
61,Masayoshi Son,18.4,14.1,11.7,21.2,22.7,21.6,16.6,45.4,21.3,22.4
62,Low Tuck Kwong,1.3,1.0,1.0,,1.5,2.4,1.1,1.1,3.7,25.5
63,Andrey Melnichenko,11.4,9.1,8.2,13.2,15.5,13.8,12.5,17.9,11.1,25.2
64,Jack Ma,10.0,22.7,20.5,28.3,39.0,37.3,38.8,48.4,22.8,23.5
65,Susanne Klatten,17.4,16.8,18.5,20.4,25.0,21.0,16.8,27.7,24.3,27.4
66,Vladimir Potanin,12.6,15.4,12.1,14.3,15.9,18.1,19.7,27.0,17.3,23.7
67,Emmanuel Besnier,7.9,7.1,7.6,11.3,14.7,14.3,12.7,19.1,23.5,22.0
68,Lukas Walton,,,10.4,11.3,15.9,15.2,18.4,15.6,16.5,21.2
69,He Xiangjian,7.1,9.9,9.0,12.3,20.1,19.8,21.6,37.7,28.3,23.4
70,Iris Fontbona,15.5,13.5,10.1,13.7,16.3,15.4,10.8,23.3,22.8,23.1
71,Daniel Gilbert,3.7,4.7,4.9,5.8,6.3,6.7,6.5,51.9,22.0,18.0
72,Abigail Johnson,17.3,13.4,13.1,14.4,15.9,15.6,10.8,20.9,21.2,21.6
73,Vladimir Lisin,16.6,11.6,9.3,16.1,19.1,21.3,18.1,26.2,18.4,22.1
74,James Ratcliffe,1.2,1.8,5.5,9.0,16.4,12.1,11.0,17.0,16.3,22.9
75,Thomas Frist Jr,6.1,7.6,7.3,8.8,9.6,12.4,7.5,15.7,21.8,20.2
76,Leonid Mikhelson,15.6,11.7,14.4,18.4,18.0,24.0,17.1,24.9,14.0,21.6
77,Eric Schmidt,9.3,9.1,10.2,11.1,13.4,12.9,13.2,18.9,22.1,16.2
78,Savitri Jindal,4.9,5.3,3.5,5.2,8.8,5.9,4.8,9.7,17.7,17.5
79,Alexey Mordashov,10.5,13.0,10.9,17.5,18.7,20.5,16.8,29.1,13.2,20.9
80,Vagit Alekperov,13.6,12.2,8.9,14.5,16.4,20.7,15.2,24.9,10.5,20.5
81,John Menard Jr,7.5,9.0,9.3,10.2,11.5,10.5,11.5,14.2,16.6,17.4
82,Eyal Ofer,7.0,8.5,8.4,8.9,9.4,9.4,7.5,11.1,15.4,18.9
83,Takemitsu Takizaki,6.6,7.6,7.2,12.3,17.5,16.3,17.4,25.8,23.9,21.0
84,Ray Dalio,14.4,15.4,15.6,16.8,17.7,18.4,18.0,20.3,22.0,19.1
85,Rick Cohen,,,,,,,,,,
86,Andrew Forrest,5.2,2.2,1.3,5.7,4.4,5.4,6.7,20.4,17.8,19.6
87,Wang Wei,4.0,4.2,4.2,15.9,18.2,12.1,15.2,39.0,24.3,21.2
88,Harold Hamm,14.6,12.2,5.1,13.3,14.1,12.7,2.4,9.4,17.2,18.5
89,Gennady Timchenko,15.3,10.7,11.4,16.0,16.0,20.1,14.4,22.0,11.3,18.5
90,Dilip Shanghvi,12.8,20.0,16.7,13.7,12.8,7.6,6.1,10.9,15.6,15.6
91,David Tepper,10.0,10.4,11.4,11.0,11.0,11.6,12.0,14.5,16.7,18.5
92,Wang Chuanfu,4.3,3.9,4.4,4.2,5.2,4.3,4.4,16.3,19.5,18.7
93,Theo Albrecht Jr,19.3,19.0,20.3,18.8,20.2,17.4,17.0,18.8,18.7,16.5
94,Stefan Persson,34.4,24.5,20.8,19.6,16.8,15.6,13.5,21.3,17.6,16.2
95,Li Eric,,,,,,,,,,
96,Vicky Safra,,,,,,,,7.4,7.4,16.7
97,Steve Cohen,11.0,11.4,12.7,13.0,14.0,12.9,13.9,16.0,17.4,17.5
98,Donald Bren,14.4,15.2,15.1,15.2,16.3,16.4,15.5,15.3,16.2,17.4
99,Rupert Murdoch,13.5,13.9,10.6,13.1,15.0,19.4,14.9,23.5,20.8,17.1
100,Beate Heister,,,,,,,,,,
101,Karl Albrecht Jr,,,25.9,27.2,29.8,36.1,33.3,39.2,36.8,15.8
102,Eduardo Saverin,4.1,4.8,6.2,7.9,10.1,9.7,8.4,14.6,10.6,10.2
103,Renata Kellnerova,,,,,,,,,16.6,16.5
104,Qin Yinglin,,1.2,1.7,2.0,3.6,4.3,18.5,33.5,24.1,18.9
105,Lakshmi Mittal,16.7,13.5,8.4,16.4,18.5,13.6,7.4,14.9,17.9,17.7
106,Michael Platt,3.6,3.5,3.0,4.5,6.9,8.0,8.0,13.0,15.2,16.0
107,Diane Hendricks,4.6,3.6,5.1,3.9,5.5,6.3,6.9,8.0,10.7,13.7
108,Leonard Lauder,7.5,9.1,9.0,8.9,12.9,14.6,14.6,25.5,23.1,21.0
109,Radhakishan Damani,,,,,,,,16.5,20.0,15.3
110,David Green,5.0,6.0,5.6,6.2,6.8,7.0,6.3,7.6,7.3,14.9
111,Harry Triguboff,5.0,5.4,7.3,8.5,9.2,9.2,6.3,11.2,12.8,13.1
112,Kumar Birla,7.0,9.0,6.1,9.5,11.8,11.1,7.6,12.8,16.5,14.2
113,Wang Wenyin,4.2,9.9,7.2,14.0,11.7,11.0,7.9,13.2,17.7,19.0
114,Huang Shilin,,,,,1.1,3.3,4.5,12.9,20.3,15.2
115,Jorge Paulo Lemann,19.7,25.0,27.8,29.2,27.4,22.8,10.4,16.9,15.4,15.8
116,Lui Che Woo,22.0,13.5,7.6,12.1,20.1,14.6,11.7,19.4,11.6,13.9
117,Alisher Usmanov,18.6,14.4,12.5,15.2,12.5,12.6,13.4,18.4,11.5,14.4
118,Jan Koum,6.8,6.6,8.6,9.0,9.1,9.6,9.7,9.9,9.8,13.7
119,Dhanin Chearavanont,11.4,13.6,6.8,9.7,14.9,15.2,13.5,18.1,13.5,14.9
120,Charlene de Carvalho-Heineken,10.4,11.6,12.3,12.6,15.8,14.2,12.8,16.7,15.2,14.7
121,Ricardo Salinas Pliego,8.3,8.0,4.3,3.6,7.1,11.1,11.7,12.9,12.4,10.9
122,Li Xiting,,,,,2.1,5.5,11.6,21.5,17.6,16.3
123,George Kaiser,10.0,9.0,7.1,7.9,7.8,7.6,5.6,5.8,9.9,13.3
124,Peter Woo,7.2,8.6,6.6,10.5,12.2,10.8,11.5,18.0,17.0,15.8
125,Idan Ofer,5.7,4.8,3.7,3.1,3.6,4.7,3.7,6.1,10.5,14.0
126,John Fredriksen,13.6,10.5,8.5,9.9,7.0,10.8,9.6,10.4,11.9,13.7
127,Jerry Jones,3.0,4.2,5.0,5.2,5.6,6.8,8.0,8.9,10.6,13.3
128,Laurene Powell Jobs,14.0,19.5,16.7,20.0,18.8,18.6,16.4,19.0,16.4,12.0
129,Uday Kotak,3.8,7.2,6.3,8.0,10.7,11.8,10.4,15.9,14.3,12.9
130,Joseph Lau,8.4,10.9,13.1,15.0,16.7,16.9,16.4,13.6,13.6,13.3
131,Dustin Moskovitz,6.8,7.9,8.9,10.7,14.0,11.1,9.3,17.8,11.5,8.8
132,Vinod Adani,,,,,,,,,,
133,Kwong Siu-hing,,,,,,15.1,11.9,14.7,12.6,14.1
134,Stanley Kroenke,5.6,6.3,7.7,7.5,8.3,8.7,10.0,8.2,10.7,12.9
135,Goh Cheng Liang,2.2,6.8,5.0,6.5,7.0,7.2,10.4,21.7,12.1,14.3
136,Mikhail Fridman,17.6,14.6,13.3,14.4,15.1,15.0,13.0,15.5,11.8,12.6
137,David Duffield,7.7,7.4,4.4,6.7,7.8,11.8,7.5,13.5,12.9,10.2
138,Mike Cannon-Brookes,,1.1,1.4,2.1,3.4,6.9,8.0,14.2,15.3,10.2
139,Lu Xiangyang,3.2,2.5,2.9,2.7,3.0,2.2,3.1,9.1,15.7,13.2
140,Wei Jianjun,6.9,8.9,4.3,5.9,6.5,3.8,4.2,15.5,15.5,14.5
141,Charoen Sirivadhanabhakdi,9.0,13.2,10.7,15.8,17.9,14.5,9.1,13.5,12.0,14.8
142,Scott Farquhar,,1.1,1.4,2.1,3.4,6.9,8.0,14.0,15.1,10.1
143,Xu Hang,,,,,1.8,5.8,11.2,19.5,16.1,14.6
144,John Doerr,3.4,3.4,4.1,5.2,7.1,6.9,7.3,12.4,12.7,8.8
145,Giorgio Armani,9.9,7.6,6.1,6.6,8.9,8.5,5.4,7.7,7.8,11.1
146,Shahid Khan,4.1,4.5,5.9,8.2,7.2,6.8,7.8,8.0,7.6,12.1
147,Donald Newhouse,8.5,8.3,9.3,12.1,12.3,11.8,10.8,17.6,14.4,10.7
148,Pavel Durov,,,,,1.7,2.7,3.4,17.2,15.1,11.5
149,Sarath Ratanavadi,,,,,3.6,4.4,6.3,8.9,11.8,12.3
150,Michael Rubin,2.7,2.7,2.3,2.3,3.0,3.0,2.9,3.5,8.0,11.4
151,Christy Walton,36.7,41.7,5.2,5.4,7.3,7.2,8.9,7.2,7.9,10.2
152,Jeffery Hildebrand,5.5,4.9,4.2,4.3,3.6,3.0,2.2,2.0,7.5,10.2
153,Viatcheslav Kantor,2.0,2.3,2.5,3.1,3.7,3.8,4.0,4.5,4.6,11.3
154,Mikhail Prokhorov,10.9,9.9,7.6,8.9,9.6,9.8,11.2,11.4,10.3,11.3
155,Israel Englander,3.3,3.8,5.0,5.2,5.2,6.4,6.6,9.6,11.5,11.3
156,David Cheriton,2.5,2.9,3.3,4.2,6.0,5.8,5.5,8.8,10.9,9.0
157,Anthony Pratt,3.0,3.6,3.6,4.4,5.5,7.1,8.7,10.8,11.4,11.3
158,Zhang Zhidong,4.8,5.8,5.9,8.4,15.6,13.3,13.0,23.4,12.8,11.0
159,Nicolas Puech,2.0,2.0,2.1,2.3,2.8,3.3,3.1,5.7,6.6,9.8
160,Trudy Cathy White,,,,,,,,,4.6,6.6
161,Dan Cathy,,3.2,3.3,3.8,4.8,6.0,3.4,8.3,4.6,6.6
162,Bubba Cathy,,3.2,3.3,3.8,4.8,6.0,3.4,8.3,4.6,6.6
163,Ravi Jaipuria,1.5,1.7,1.6,1.5,2.1,2.1,2.3,3.3,5.2,8.6
164,Kushal Pal Singh,3.0,3.4,2.8,4.1,6.4,4.7,3.7,8.3,8.8,8.2
165,Aliko Dangote,25.0,14.7,15.4,12.2,14.1,10.4,8.3,11.5,14.0,14.2
166,Robert Kuok,11.5,11.3,10.0,11.4,14.8,12.8,9.6,12.6,11.7,11.8
167,Philip Anschutz,10.4,11.8,9.7,12.5,13.0,10.9,11.0,10.1,10.9,10.9
168,Barry Lam,4.1,4.1,3.1,3.8,3.9,3.8,3.9,5.3,5.9,5.2
169,Robert Kraft,2.9,4.3,4.8,5.1,6.2,6.5,6.9,6.9,8.3,10.6
170,Dang Yanbao,,,,,1.1,1.2,6.6,12.7,14.8,12.2
171,Johann Rupert,7.6,7.4,5.3,6.1,7.0,5.5,4.6,7.1,8.9,11.1
172,Melinda French Gates,,,,,,,,,6.2,6.5
173,Chris Xu,,,,,,,,,5.4,10.5
174,Suleiman Kerimov,6.9,3.4,1.6,6.3,6.4,6.3,10.0,15.8,4.4,10.5
175,Chen Bang,1.3,1.7,2.1,2.1,3.5,4.4,7.6,17.9,12.7,13.9
176,Carl Cook,,6.5,4.8,7.4,8.0,8.3,8.0,9.9,11.1,10.2
177,Andreas von Bechtolsheim,3.8,3.9,3.3,4.5,6.8,6.4,5.7,8.2,9.9,8.6
178,Anthony von Mandl,,,,,,,3.3,8.7,8.4,9.0
179,Pang Kang,2.5,3.3,3.4,3.5,6.4,8.9,11.5,26.4,19.6,15.9
180,Andreas Struengmann,3.5,3.3,3.2,3.1,3.7,4.4,9.6,11.0,11.9,11.5
181,Thomas Struengmann,3.5,3.3,3.2,3.1,3.7,4.4,9.6,11.0,11.9,11.5
182,Brian Chesky,,1.9,3.3,3.8,3.8,3.7,4.1,13.7,11.5,9.3
183,John Tu,4.5,5.0,4.5,5.3,5.7,4.7,4.2,9.1,5.6,6.7
184,Viktor Rashnikov,2.8,3.5,3.8,8.3,9.3,8.9,7.3,11.2,6.6,10.2
185,Judy Love,3.6,4.0,5.9,5.2,5.8,7.0,6.5,10.8,9.7,10.9
186,David Sun,4.5,5.0,4.5,5.3,5.7,4.7,4.2,9.1,5.6,6.7
187,Changpeng Zhao,,,,,1.4,1.2,,1.9,65.0,10.5
188,Lei Jun,4.0,13.2,9.8,6.8,12.5,9.6,9.2,23.0,11.7,9.7
189,Leon Black,5.8,5.3,4.5,5.5,6.5,6.4,6.6,8.6,10.0,8.6
190,Marcel Herrmann Telles,10.2,13.0,13.0,14.8,14.0,9.9,6.5,11.5,10.3,10.6
191,Wang Xing,,1.4,2.5,2.5,4.1,4.8,6.4,26.1,11.0,9.4
192,Gong Hongjia,3.7,4.7,4.1,5.8,11.2,8.6,8.0,14.4,13.2,11.0
193,Quek Leng Chan,6.4,5.6,5.3,6.8,7.2,9.4,9.2,9.7,10.6,10.1
194,Autry Stephens,,,,,,,,,5.0,10.0
195,Vincent BollorÃ©,7.4,6.7,5.3,5.2,7.4,5.1,3.5,7.0,7.5,9.5
196,Friedhelm Loh,3.0,2.7,2.4,2.7,3.6,6.8,8.2,9.7,8.9,9.7
197,Robert Pera,2.7,1.8,2.0,3.0,4.3,6.9,7.0,18.3,14.6,15.5
198,Jim Pattison,7.3,7.5,4.5,5.6,6.9,6.0,4.3,9.6,12.2,9.5
199,Michael Kim,,,,,1.0,1.0,1.5,1.9,7.5,9.7
200,Tanya SaadÃ© Zeenny,,,,,,,,,,
201,Jacques SaadÃ© Jr,,,,,,,,,,
202,Rodolphe SaadÃ©,,,,,,10.5,7.0,10.9,41.4,9.8
203,Carrie Perrodo,10.0,8.8,4.2,6.3,7.2,5.7,3.0,5.4,7.0,8.8
204,Henry Samueli,2.0,2.4,2.6,3.6,3.8,4.3,3.5,6.1,7.3,7.7
205,James Dyson,4.5,4.9,4.0,4.2,5.6,5.7,5.9,9.7,9.2,9.3
206,Andrei Guriev,3.4,3.5,3.6,4.5,4.5,4.3,4.1,6.0,4.8,9.7
207,Liu Yongxing,5.5,6.6,5.1,6.6,6.7,5.1,5.9,6.5,13.2,9.9
208,Ernesto Bertarelli,12.0,8.8,8.6,8.6,8.9,8.0,8.0,8.6,8.5,9.4
209,Pamela Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
210,Valerie Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
211,Victoria Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
212,Marijke Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
213,Hasso Plattner,8.8,9.1,9.5,11.2,12.7,13.5,12.4,8.3,7.9,8.6
214,Charles Schwab,5.8,6.4,5.4,8.3,9.4,8.3,6.7,10.6,12.2,9.2
215,Daniel Kretinsky,,,,2.0,2.6,2.9,3.4,4.1,5.4,9.2
216,Liu Hanyuan,,,,1.0,1.6,2.1,2.4,10.3,13.7,11.4
217,Ann Walton Kroenke,4.8,5.6,4.5,6.0,6.6,6.5,7.9,8.4,9.0,8.5
218,Manuel Villar,,1.6,1.3,1.5,3.0,5.5,5.6,7.2,8.3,8.6
219,Antonia Ax:son Johnson,8.5,5.3,5.7,5.5,6.3,5.4,5.5,7.4,7.2,9.2
220,James Goodnight,7.5,7.5,8.0,9.4,9.0,8.9,6.1,6.5,6.7,7.4
221,Roman Abramovich,9.1,9.1,7.6,9.1,10.8,12.4,11.3,14.5,6.9,9.2
222,Georg Schaeffler,14.3,26.9,18.1,20.7,25.3,13.4,6.3,14.9,8.1,10.2
223,John Malone,7.5,8.3,6.3,7.7,8.1,7.2,5.8,7.8,7.4,9.2
224,Azim Premji,15.3,19.1,15.0,14.9,18.8,22.6,6.1,8.6,9.8,9.2
225,Blair Parry-Okeden,7.7,8.5,9.7,12.2,13.0,9.3,7.6,9.4,7.8,8.4
226,Jim Kennedy,7.7,8.5,9.7,12.2,13.0,9.3,7.6,9.4,7.8,8.4
227,Bernard Marcus,3.5,3.8,3.3,4.0,5.1,5.2,4.6,7.2,8.7,8.0
228,Stephen Ross,5.4,6.5,12.0,7.4,7.6,7.6,7.6,7.0,8.2,11.6
229,George Roberts,5.0,5.2,4.1,5.0,5.4,5.5,5.3,7.6,8.0,8.2
230,Patrick Ryan,1.6,2.6,2.3,2.5,2.6,3.0,2.9,3.4,8.0,8.0
231,Andrew Beal,10.9,11.7,9.4,10.4,11.6,9.1,7.9,7.9,9.9,10.3
232,Rocco Commisso,,,,,4.3,4.5,4.5,7.2,6.1,7.8
233,Sun Piaoyang,1.9,2.1,3.4,4.3,7.7,8.4,11.8,18.9,17.1,9.7
234,Melker Schorling,5.4,6.4,5.7,6.8,8.2,6.8,5.6,10.5,10.4,9.8
235,Nancy Walton Laurie,4.1,4.7,4.0,4.3,5.8,5.7,7.1,7.5,8.1,7.9
236,Georg Stumpf,,,,1.5,2.9,3.0,4.4,6.5,7.9,7.9
237,Jiang Rensheng,2.2,1.7,1.8,2.3,3.6,4.9,7.6,24.4,17.7,12.2
238,Alexander Otto,,,,,11.8,10.7,5.0,11.8,10.9,9.0
239,Michael Otto,18.4,18.1,15.4,7.7,11.0,6.9,3.3,8.9,8.9,8.7
240,Finn Rausing,5.1,5.1,5.5,6.0,6.6,7.9,9.1,13.9,9.8,8.9
241,Kirsten Rausing,5.1,5.1,5.5,6.0,6.6,7.9,9.1,13.9,9.8,8.9
242,Jorn Rausing,5.7,5.5,5.8,6.1,7.0,8.7,10.3,13.9,9.8,8.9
243,Nathan Blecharczyk,,1.9,3.3,3.8,3.8,3.7,4.1,12.4,9.2,8.0
244,Tatyana Bakalchuk,,,,,,1.0,1.0,13.0,2.1,8.8
245,Jack Dangermond,2.5,2.9,3.0,3.2,4.1,4.0,4.0,5.6,6.4,7.0
246,John Morris,4.0,4.1,3.8,4.0,4.4,5.7,3.2,4.1,6.0,8.3
247,Graeme Hart,7.0,6.9,6.4,9.5,10.1,9.1,10.5,8.7,9.4,8.6
248,Chase Coleman III,1.6,2.1,2.4,1.9,2.2,3.1,4.5,10.3,10.3,8.5
249,Francine von Finck,,,,,,,,,8.4,8.3
250,Wang Liping,,,,1.1,2.0,2.3,4.5,13.1,8.6,9.0
251,Henry Nicholas III,1.3,1.7,2.0,3.0,3.3,3.8,2.7,5.4,6.5,6.6
252,Wu Yajun,3.7,3.4,3.2,4.5,7.7,9.4,12.0,18.3,15.3,10.1
253,Jay Y. Lee,4.5,7.2,6.0,6.0,7.4,6.9,5.0,8.3,9.1,7.9
254,Ivan Glasenberg,6.3,5.1,2.1,5.1,6.5,5.1,2.6,5.5,9.1,9.0
255,Tilman Fertitta,2.4,2.5,3.0,2.9,4.3,4.7,4.3,4.6,5.6,8.1
256,Nicky Oppenheimer,6.7,6.7,6.6,7.0,7.7,7.3,7.4,8.0,8.7,8.4
257,Pei Zhenhua,,,,,,1.5,2.4,7.5,12.5,8.8
258,Carl Icahn,24.5,23.5,17.0,16.6,16.8,17.4,13.8,15.8,16.5,17.5
259,Henry Kravis,5.0,5.2,4.2,5.0,5.3,5.5,5.2,7.3,7.7,7.5
260,Thierry Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
261,Laurent Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
262,Karel Komarek,1.6,1.7,1.6,2.2,3.2,3.1,3.1,5.5,7.7,8.1
263,Marie-HÃ©lÃ¨ne Habert-Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
264,Jean-Michel Besnier,2.7,2.5,2.7,4.0,5.4,5.0,4.4,6.7,8.2,7.7
265,Marie Besnier Beauvalot,2.7,2.5,2.7,4.0,5.4,5.0,4.4,6.7,8.2,7.7
266,Carlos Alberto Sicupira,8.9,11.3,11.3,12.5,12.0,8.9,4.8,8.7,8.5,8.6
267,Francis Choi,3.3,3.7,5.7,5.9,6.4,6.7,6.6,6.6,8.1,8.2
268,German Khan,11.3,9.5,8.7,9.3,9.8,9.7,8.5,10.1,7.8,8.2
269,Jay Chaudhry,,,,,,,2.8,10.0,11.4,6.0
270,Pavel Tykac,1.0,1.1,1.2,1.3,1.3,1.4,1.4,1.7,3.4,8.0
271,Joe Gebbia,,1.9,3.3,3.8,3.8,3.7,4.1,12.4,10.0,7.6
272,Arthur Blank,1.8,2.5,2.6,3.3,4.1,4.7,4.6,6.2,7.1,7.5
273,Marc Benioff,3.3,3.4,3.3,4.0,4.9,6.6,5.8,8.4,8.1,7.0
274,Pierre Omidyar,8.2,8.0,7.2,8.0,10.5,11.4,11.0,21.4,11.3,8.8
275,Elisabeth DeLuca,,,,,,,,,,
276,Eric Wittouck,,,,,,7.6,8.0,10.0,9.0,8.0
277,Leonid Fedun,6.5,5.3,3.9,6.3,6.9,8.7,6.3,11.1,5.0,8.0
278,Robert F. Smith,,,2.5,2.5,4.4,5.0,5.0,6.0,6.7,8.0
279,Joseph Tsai,3.7,5.9,4.2,5.8,9.7,9.5,10.0,11.6,8.4,7.6
280,Wang Jianlin,15.1,24.2,28.7,31.3,30.0,22.6,14.0,14.8,13.2,8.2
281,Robin Li,12.1,15.3,11.0,13.3,12.0,9.6,4.9,14.7,7.0,7.7
282,David Shaw,3.6,4.1,5.0,5.4,6.4,7.0,7.3,7.3,7.5,7.9
283,Andrei Skoch,8.2,5.7,5.3,6.9,4.9,5.2,6.3,8.6,4.7,7.9
284,Ramzi Musallam,,,,,,,,,4.0,7.9
285,Richard Liu,2.7,7.4,6.3,7.7,10.8,6.0,8.2,22.4,10.5,8.8
286,Reinhold Schmieding,2.6,4.0,4.1,4.4,4.9,6.0,5.3,6.7,7.2,7.7
287,Orlando Bravo,,,,,,,3.0,4.4,6.3,7.9
288,David Velez,,,,,,,,5.2,6.5,4.5
289,Zhang Congyuan,,,,,,,,,11.7,7.8
290,Harry Stine,3.0,3.3,3.6,3.5,3.9,3.9,3.8,5.4,6.9,7.4
291,Steven Rales,3.6,3.7,3.6,5.1,5.6,6.0,5.8,8.9,8.4,7.4
292,Enrique Razon Jr,4.2,5.2,2.4,3.4,4.9,4.8,3.4,5.0,6.7,7.3
