,Image,Rank,Name,Net_Worth,Age,Source,Country,internal_link,Industry
2241,//specials-images.forbesimg.com/imageserve/58a397fa31358e1a35ab6448/416x416.jpg?background=000000&cropX1=0&cropX2=739&cropY1=119&cropY2=859,971,Sergei Gordeev,$3.1 B,50,Real estate,Russia,https://www.forbes.com/profile/sergei-gordeev/?list=rtb/,Real Estate
2242,https://specials-images.forbesimg.com/imageserve/632cc5ab3b3068af937d2c2d/416x416.jpg?background=000000&cropX1=477&cropX2=900&cropY1=360&cropY2=783,972,Edward DeBartolo Jr,$3.1 B,76,Shopping centers,United States,https://www.forbes.com/profile/edward-debartolo-jr/?list=rtb/,Real Estate
2243,https://specials-images.forbesimg.com/imageserve/620d399c3c603dceb88590d8/416x416.jpg?background=000000&cropX1=1331&cropX2=3463&cropY1=173&cropY2=2303,975,Or Wai Sheun,$3.1 B,72,Real estate,Hong Kong,https://www.forbes.com/profile/or-wai-sheun/?list=rtb/,Real Estate
2244,https://specials-images.forbesimg.com/imageserve/632cd14fe06f3f48e97d2c2f/416x416.jpg?background=000000&cropX1=555&cropX2=1988&cropY1=205&cropY2=1639,1002,Nicolas Berggruen,$3.1 B,61,"Real estate, investments",United States,https://www.forbes.com/profile/nicolas-berggruen/?list=rtb/,Real Estate
2245,//specials-images.forbesimg.com/imageserve/5c7024be4bbe6f79679eff60/416x416.jpg?background=000000&cropX1=1751&cropX2=3061&cropY1=0&cropY2=1310,1009,Katharina Otto-Bernstein,$3.0 B,59,Real estate,Germany,https://www.forbes.com/profile/katharina-otto-bernstein/?list=rtb/,Real Estate
2246,https://specials-images.forbesimg.com/imageserve/63a0ca7549b4b4d012f318fb/416x416.jpg?background=000000&cropX1=272&cropX2=959&cropY1=178&cropY2=866,1037,Lin Chen-hai,$2.9 B,76,Real estate,Taiwan,https://www.forbes.com/profile/lin-chen-hai/?list=rtb/,Real Estate
2247,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,1042,Roy Carroll II,$2.9 B,60,Real estate,United States,https://www.forbes.com/profile/roy-carroll-ii/?list=rtb/,Real Estate
2248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Real Estate
2249,//specials-images.forbesimg.com/imageserve/5e75457107adf00006dbbf79/416x416.jpg?background=000000&cropX1=124&cropX2=1788&cropY1=564&cropY2=2229,1065,Hui Ka Yan,$2.9 B,64,Real estate,China,https://www.forbes.com/profile/hui-ka-yan/?list=rtb/,Real Estate
2250,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,1073,Chan Tan Ching-fen,$2.8 B,,Real estate,Hong Kong,https://www.forbes.com/profile/chan-tan-ching-fen/?list=rtb/,Real Estate
2251,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,1082,Maritsa Lazari & family,$2.8 B,78,Real estate,United Kingdom,https://www.forbes.com/profile/maritsa-lazari/?list=rtb/,Real Estate
2252,//specials-images.forbesimg.com/imageserve/5c72233e31358e35dd26feb8/416x416.jpg?background=000000&cropX1=162&cropX2=679&cropY1=2&cropY2=520,1096,Erik Selin,$2.8 B,56,Real estate,Sweden,https://www.forbes.com/profile/erik-selin/?list=rtb/,Real Estate
2253,https://specials-images.forbesimg.com/imageserve/631761ff8417e4652b8c36ad/416x416.jpg?background=000000&cropX1=915&cropX2=2708&cropY1=38&cropY2=1831,1105,Choo Chong Ngen,$2.8 B,70,Hotels,Singapore,https://www.forbes.com/profile/choo-chong-ngen/?list=rtb/,Real Estate
