,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
110,Wang Wenyin,4.2,9.9,7.2,14.0,11.7,11.0,7.9,13.2,17.7,19.0
111,Harry Triguboff,5.0,5.4,7.3,8.5,9.2,9.2,6.3,11.2,12.8,13.1
112,Li Xiting,,,,,2.1,5.5,11.6,21.5,17.6,16.3
113,Peter Woo,7.2,8.6,6.6,10.5,12.2,10.8,11.5,18.0,17.0,15.8
114,Kumar Birla,7.0,9.0,6.1,9.5,11.8,11.1,7.6,12.8,16.5,14.2
115,David Green,5.0,6.0,5.6,6.2,6.8,7.0,6.3,7.6,7.3,14.9
116,Jorge Paulo Lemann,19.7,25.0,27.8,29.2,27.4,22.8,10.4,16.9,15.4,15.8
117,Huang Shilin,,,,,1.1,3.3,4.5,12.9,20.3,15.2
118,Dhanin Chearavanont,11.4,13.6,6.8,9.7,14.9,15.2,13.5,18.1,13.5,14.9
119,Charlene de Carvalho-Heineken,10.4,11.6,12.3,12.6,15.8,14.2,12.8,16.7,15.2,14.7
120,Alisher Usmanov,18.6,14.4,12.5,15.2,12.5,12.6,13.4,18.4,11.5,14.4
121,Lui Che Woo,22.0,13.5,7.6,12.1,20.1,14.6,11.7,19.4,11.6,13.9
122,Jan Koum,6.8,6.6,8.6,9.0,9.1,9.6,9.7,9.9,9.8,13.7
123,Ricardo Salinas Pliego,8.3,8.0,4.3,3.6,7.1,11.1,11.7,12.9,12.4,10.9
124,Laurene Powell Jobs,14.0,19.5,16.7,20.0,18.8,18.6,16.4,19.0,16.4,12.0
125,Uday Kotak,3.8,7.2,6.3,8.0,10.7,11.8,10.4,15.9,14.3,12.9
126,Lu Xiangyang,3.2,2.5,2.9,2.7,3.0,2.2,3.1,9.1,15.7,13.2
127,Kwong Siu-hing,,,,,,15.1,11.9,14.7,12.6,14.1
128,Idan Ofer,5.7,4.8,3.7,3.1,3.6,4.7,3.7,6.1,10.5,14.0
129,Goh Cheng Liang,2.2,6.8,5.0,6.5,7.0,7.2,10.4,21.7,12.1,14.3
130,Xu Hang,,,,,1.8,5.8,11.2,19.5,16.1,14.6
131,Jerry Jones,3.0,4.2,5.0,5.2,5.6,6.8,8.0,8.9,10.6,13.3
132,Joseph Lau,8.4,10.9,13.1,15.0,16.7,16.9,16.4,13.6,13.6,13.3
133,John Fredriksen,13.6,10.5,8.5,9.9,7.0,10.8,9.6,10.4,11.9,13.7
134,George Kaiser,10.0,9.0,7.1,7.9,7.8,7.6,5.6,5.8,9.9,13.3
135,Charoen Sirivadhanabhakdi,9.0,13.2,10.7,15.8,17.9,14.5,9.1,13.5,12.0,14.8
136,Stanley Kroenke,5.6,6.3,7.7,7.5,8.3,8.7,10.0,8.2,10.7,12.9
